id	taxonID	scientificName	order	family	vernacularName	taxonRemarks	bibliographicCitation
4db7c6eb-71af-4678-a470-529bfe0675d6	4db7c6eb-71af-4678-a470-529bfe0675d6	Gelochelidon nilotica	Charadriiformes	Laridae	Gull-billed Tern, 鷗嘴燕鷗	Gelochelidon nilotica	Erwin, R. M., Eyler, T. B., Hatfield, J. S. & McGary, S. Diets of nestling Gull-billed Terns in coastal Virginia. Col. Waterbirds 21, 323-327 (1998). | Goutner, V. Food and feeding ecology of Gull-billed Terns (Gelochelidon nilotica) in Greece. Rev Ecol-Terre Vie 46, 373-384 (1991). https://doi.org/10.3406/revec.1991.2047
c5d6f959-702e-4489-8e56-4078e0177637	c5d6f959-702e-4489-8e56-4078e0177637	Hydroprogne caspia	Charadriiformes	Laridae	Caspian Tern, 裏海燕鷗	Hydroprogne caspia	Stockwell, S. The foraging ecology of Caspian Terns (Hydroprogne caspia) on Peel-Harvey Estuary, south-western Australia Doctoral thesis, Murdoch University, (2019).
bf8242ed-b7ea-4fb3-8056-7eb48279db61	bf8242ed-b7ea-4fb3-8056-7eb48279db61	Chlidonias leucopterus	Charadriiformes	Laridae	White-winged Tern, 白翅黑燕鷗	Chlidonias leucopterus	Stinson, D. W. Food habits of migrant birds in the Mariana Islands. Micronesica 27, 123-126 (1994).
4713e9c6-eec6-405b-99cd-65fd5a6e698a	4713e9c6-eec6-405b-99cd-65fd5a6e698a	Chlidonias hybrida	Charadriiformes	Laridae	Whiskered Tern, 黑腹燕鷗	Chlidonias hybrida	Severinghaus, L. L. et al. The Avifauna of Taiwan (Forest Bureau, Council of Agriculture, 2012) | Hsiao, M. C. & Li, C. A Field Guide to the Birds of Taiwan (Forest Bureau, Council of Agriculture, Wild Bird Society Of Taipei, 2015) | Billerman, S. M., Keeney, B. K., Rodewald, P. G. & Schulenberg, T. S. Birds of the World https://birdsoftheworld.org/bow/home (2022)
62ee9d51-4d3d-4e9f-a86f-330e953de8cd	62ee9d51-4d3d-4e9f-a86f-330e953de8cd	Sterna dougallii	Charadriiformes	Laridae	Roseate Tern, 紅燕鷗	Sterna dougallii	Surman, C. A. & Wooller, R. D. Comparative foraging ecology of five sympatric terns at a sub-tropical island in the eastern Indian Ocean. J. Zool. 259, 219-230 (2003). | Pereira, J. C. & Ramos, J. A. Subtropical Roseate Terns (Sterna dougallii) of Santa Maria (Azores) deliver more appropriate sized prey to their chicks than Common Terns (Sterna hirundo). FCTUC Ciências da Vida - Artigos em (2008).
42c1571d-d2dd-41ce-8ce8-c560da8daaae	42c1571d-d2dd-41ce-8ce8-c560da8daaae	Sterna sumatrana	Charadriiformes	Laridae	Black-naped Tern, 蒼燕鷗	Sterna sumatrana	Severinghaus, L. L. et al. The Avifauna of Taiwan (Forest Bureau, Council of Agriculture, 2012) | Hsiao, M. C. & Li, C. A Field Guide to the Birds of Taiwan (Forest Bureau, Council of Agriculture, Wild Bird Society Of Taipei, 2015) | Billerman, S. M., Keeney, B. K., Rodewald, P. G. & Schulenberg, T. S. Birds of the World https://birdsoftheworld.org/bow/home (2022)
3a31dbbd-2926-418f-9e7a-706562ea375b	3a31dbbd-2926-418f-9e7a-706562ea375b	Sterna hirundo	Charadriiformes	Laridae	Common Tern, 燕鷗	Sterna hirundo	Pereira, J. C. & Ramos, J. A. Subtropical Roseate Terns (Sterna dougallii) of Santa Maria (Azores) deliver more appropriate sized prey to their chicks than Common Terns (Sterna hirundo). FCTUC Ciências da Vida - Artigos em (2008).
a4d666a0-b5d7-4d1c-ba37-3a48dedf7805	a4d666a0-b5d7-4d1c-ba37-3a48dedf7805	Thalasseus bergii	Charadriiformes	Laridae	Great Crested Tern, 鳳頭燕鷗	Thalasseus bergii	Surman, C. A. & Wooller, R. D. Comparative foraging ecology of five sympatric terns at a sub-tropical island in the eastern Indian Ocean. J. Zool. 259, 219-230 (2003).
d7ebd0b1-fd19-4086-91a3-468b150ef56f	d7ebd0b1-fd19-4086-91a3-468b150ef56f	Thalasseus bernsteini	Charadriiformes	Laridae	Chinese Crested Tern, 黑嘴端鳳頭燕鷗	Thalasseus bernsteini	Severinghaus, L. L. et al. The Avifauna of Taiwan (Forest Bureau, Council of Agriculture, 2012) | Hsiao, M. C. & Li, C. A Field Guide to the Birds of Taiwan (Forest Bureau, Council of Agriculture, Wild Bird Society Of Taipei, 2015) | Billerman, S. M., Keeney, B. K., Rodewald, P. G. & Schulenberg, T. S. Birds of the World https://birdsoftheworld.org/bow/home (2022)
ff41f1a8-1343-42ab-8951-9af61b27b6e5	ff41f1a8-1343-42ab-8951-9af61b27b6e5	Gavia stellata	Gaviiformes	Gaviidae	Red-throated Loon, 紅喉潛鳥	Gavia stellata	Duckworth, J. et al. First biologging record of a foraging Red-throated Loon Gavia stellata shows shallow and efficient diving in freshwater environments. Mar. Ornithol. 48, 17-22 (2020).
f53da284-08ae-4084-bdca-8d2b731800ea	f53da284-08ae-4084-bdca-8d2b731800ea	Ciconia nigra	Ciconiiformes	Ciconiidae	Black Stork, 黑鸛	Ciconia nigra	Severinghaus, L. L. et al. The Avifauna of Taiwan (Forest Bureau, Council of Agriculture, 2012) | Hsiao, M. C. & Li, C. A Field Guide to the Birds of Taiwan (Forest Bureau, Council of Agriculture, Wild Bird Society Of Taipei, 2015) | Billerman, S. M., Keeney, B. K., Rodewald, P. G. & Schulenberg, T. S. Birds of the World https://birdsoftheworld.org/bow/home (2022)
